id,criteria_name,basic_info,more_detail
16,Others,It includes other critierias that are not asked? How would you rate them as a whole?,
15,backcam,How important is the Back Camera of the phone is for you?,
14,battery,How important is the battery life (1 day/2 days etc.) of the phone is for you?,
13,OS,How important the OS (Android/Apple) of the phone is for you,
12,rating,Do you consider rating of the phone before buying?,
11,Colors,How important the Colors of the phone is for you?,
10,Chip,Do you value Chip when buying the phone?,
9,Size,How important the Size  of the phone is for you?,
8,Gpu,How important is the GPU (Graphics Processing Unit ) is for you?,
7,Dimensions,How much value do you give for the dimensions of the phone?,
6,Cpu,How important the Cpu (Processing Speed) of the phone is for you?,How important the Cpu (Processing Speed) of the phone is for you?
5,Ram,How important the Ram (2GB/3GB/4GB etc) is for you?,How important the Ram (2GB/3GB/4GB etc) is for you?
4,Memory,How important the Memory (32GB/64GB etc) of the phone is for you?,How important the Memory (32GB/64GB etc) of the phone is for you?
3,price,How important is the price of the phone is for you?,How important is the price of the phone is for you?
2,Brand,How important is the brand of the phone is for you?,How important is the brand of the phone is for you?
1,Looks & Feel,How important the looks of the phone is for you?,How important the looks of the phone is for you?
